t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
1.559999999999999928e-02,1.002676024530461785e+00,-1.425615877701874156e-03,2.526350256643810077e-01,2.485817180005956417e-01,-2.123328639649924021e-15,1.988653744004765134e+00,-1.698662911719939217e-14
5.539999999999999786e-02,1.009211705549530880e+00,-3.500131510212473474e-03,1.305049050069942984e+00,8.767307894723099793e-01,1.251331937374144943e-15,7.013846315778479834e+00,1.001065549899315954e-14
5.639999999999999875e-02,9.520038251532604301e-01,-1.485248177366571727e-02,-2.017489548806981059e+00,1.500749238442087297e+00,-5.737597896793289465e-16,1.200599390753669837e+01,-4.590078317434631572e-15
1.013000000000000012e-01,1.016867119466655645e+00,-3.779330351342248279e-03,2.517133698434595779e+00,8.884116052187793766e-01,2.927562706145359073e-15,7.107292841750235013e+00,2.342050164916287258e-14
1.042000000000000010e-01,9.499471536804375837e-01,-1.572039371932841892e-02,-1.932970953542290093e+00,1.547934826197401081e+00,-9.419548474554062523e-16,1.238347860957920865e+01,-7.535638779643250018e-15
1.527999999999999914e-01,1.023697896348042757e+00,-3.906684969381456728e-03,3.609529471149554247e+00,8.452967133229882801e-01,3.132910597614113613e-15,6.762373706583906241e+00,2.506328478091290890e-14
2.021999999999999909e-01,9.485729987765740834e-01,-1.664470545989122849e-02,-1.574865191391336072e+00,1.537383386123562845e+00,-9.157171548812570450e-16,1.229906708898850276e+01,-7.325737239050056360e-15
2.043999999999999984e-01,1.029253712066977577e+00,-4.055296780412394331e-03,4.513167663194867174e+00,8.381003925485071004e-01,3.142885257600980253e-15,6.704803140388056804e+00,2.514308206080784203e-14
2.515999999999999903e-01,9.479489672871390660e-01,-1.709571030097845751e-02,-1.382821670953849891e+00,1.536822397450095856e+00,-9.254749744336265849e-16,1.229457917960076685e+01,-7.403799795469012679e-15
2.555000000000000049e-01,1.033975682870138302e+00,-4.236034124047745666e-03,5.300330287351211034e+00,8.732087465202199583e-01,3.298576689569898690e-15,6.985669972161759667e+00,2.638861351655918952e-14
3.002000000000000224e-01,1.037646392733854173e+00,-4.424502091817095889e-03,5.924241470737065640e+00,9.427131162255294461e-01,3.295974604355933479e-15,7.541704929804235569e+00,2.636779683484746784e-14
3.010999999999999788e-01,9.473116952717619554e-01,-1.755786213441986807e-02,-1.185564842955505682e+00,1.542314140874263773e+00,-9.464000763625968204e-16,1.233851312699411018e+01,-7.571200610900774564e-15
3.506000000000000227e-01,9.466465836693509495e-01,-1.803738012018671691e-02,-9.838871409155907077e-01,1.554755690923652400e+00,-9.407622250656721974e-16,1.243804552738921920e+01,-7.526097800525377579e-15
3.512000000000000122e-01,1.041449205210445372e+00,-4.678379096470408789e-03,6.583365834785264603e+00,1.072283773476729873e+00,3.237427687041716240e-15,8.578270187813838987e+00,2.589942149633372992e-14
4.018999999999999795e-01,1.044904551683383032e+00,-4.976540371815228563e-03,7.198700350398434367e+00,1.263182056354076543e+00,3.181916535810458413e-15,1.010545645083261235e+01,2.545533228648366730e-14
4.092999999999999972e-01,9.458048478687416383e-01,-1.863820576003599391e-02,-7.366410502745183164e-01,1.579649812906281481e+00,-9.056340746771418537e-16,1.263719850325025185e+01,-7.245072597417134830e-15
