t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
1.220000000000000077e-02,nan,nan,nan,8.509253877465051685e-01,8.435858290274079151e-04,6.807403101972041348e+00,6.748686632219263321e-03
2.545999999999999930e-01,nan,nan,nan,3.042533549270829973e-01,3.009608757607244831e-04,2.434026839416663979e+00,2.407687006085795865e-03
5.043999999999999595e-01,nan,nan,nan,2.537826313667476130e-01,2.559788372192064185e-04,2.030261050933980904e+00,2.047830697753651348e-03
7.557000000000000384e-01,nan,nan,nan,2.496088436510335573e-01,2.384825672468458065e-04,1.996870749208268458e+00,1.907860537974766452e-03
1.003100000000000103e+00,nan,nan,nan,2.532482982472694655e-01,2.246643556080632487e-04,2.025986385978155724e+00,1.797314844864505989e-03
1.252000000000000002e+00,nan,nan,nan,2.553312047215781089e-01,2.092192649752737008e-04,2.042649637772624871e+00,1.673754119802189607e-03
1.500499999999999945e+00,nan,nan,nan,2.561454507442048611e-01,1.968798843940737996e-04,2.049163605953638889e+00,1.575039075152590397e-03
1.755200000000000093e+00,nan,nan,nan,2.564461939833231896e-01,1.943212860176330922e-04,2.051569551866585517e+00,1.554570288141064738e-03
2.003699999999999815e+00,nan,nan,nan,2.566165578250805823e-01,2.057528077635204509e-04,2.052932462600644659e+00,1.646022462108163607e-03
2.252200000000000202e+00,nan,nan,nan,2.567714109408253398e-01,2.310432838012115118e-04,2.054171287526602718e+00,1.848346270409692094e-03
2.500700000000000145e+00,nan,nan,nan,2.569197100046700100e-01,2.655028298866125890e-04,2.055357680037360080e+00,2.124022639092900712e-03
2.755399999999999849e+00,nan,nan,nan,2.570607578545329175e-01,3.011458957812424269e-04,2.056486062836263340e+00,2.409167166249939415e-03
3.003899999999999793e+00,nan,nan,nan,2.571840788434994196e-01,3.255949677663579501e-04,2.057472630747995357e+00,2.604759742130863601e-03
3.252400000000000180e+00,nan,nan,nan,2.572913073826203489e-01,3.313779916465437380e-04,2.058330459060962792e+00,2.651023933172349904e-03
3.500900000000000123e+00,nan,nan,nan,2.573818482567594712e-01,3.153184357096357215e-04,2.059054786054075770e+00,2.522547485677085772e-03
3.755599999999999827e+00,nan,nan,nan,2.574578848132055842e-01,2.800105938297424565e-04,2.059663078505644673e+00,2.240084750637939652e-03
4.004100000000000215e+00,nan,nan,nan,2.575171877655653141e-01,2.371945091795089465e-04,2.060137502124522513e+00,1.897556073436071572e-03
4.252600000000000158e+00,nan,nan,nan,2.575639160249443838e-01,1.993173312310079972e-04,2.060511328199555070e+00,1.594538649848063977e-03
4.501100000000000101e+00,nan,nan,nan,2.576004115960388585e-01,1.782244540693746497e-04,2.060803292768310868e+00,1.425795632554997198e-03
